entity_addr,entity_total_trans_fulton_all_yr,pct_entity_total_trans_fulton_all_yr
0 PO BOX 371405 30037,1.0,0.0008806460419363645
0 PO BOX 37152 45222,1.0,0.0008806460419363645
0 PO BOX 3721 30357,1.0,0.0008806460419363645
0 PO BOX 372760 30037,1.0,0.0008806460419363645
0 PO BOX 373 30024,1.0,0.0008806460419363645
0 PO BOX 373233 30037,1.0,0.0008806460419363645
0 PO BOX 3788 47736,1.0,0.0008806460419363645
0 PO BOX 38 31004,1.0,0.0008806460419363645
0 PO BOX 382 50402,6.0,0.005283876251618187
0 PO BOX 386 30133,5.0,0.004403230209681822
0 PO BOX 3887 30024,3.0,0.0026419381258090935
0 PO BOX 389 30647,1.0,0.0008806460419363645
0 PO BOX 39 30030,1.0,0.0008806460419363645
0 PO BOX 390 30055,1.0,0.0008806460419363645
0 PO BOX 390252 30039,1.0,0.0008806460419363645
0 PO BOX 391193 30039,2.0,0.001761292083872729
0 PO BOX 3944 30031,2.0,0.001761292083872729
0 PO BOX 3948 31706,1.0,0.0008806460419363645
0 PO BOX 396 30290,2.0,0.001761292083872729
0 PO BOX 40002 30302,1.0,0.0008806460419363645
0 PO BOX 4013 7012,5.0,0.004403230209681822
0 PO BOX 4035 30023,1.0,0.0008806460419363645
0 PO BOX 4074 30302,2.0,0.001761292083872729
0 PO BOX 4090 85261,297.0,0.26155187445510025
0 PO BOX 41 30085,1.0,0.0008806460419363645
0 PO BOX 411 28773,1.0,0.0008806460419363645
0 PO BOX 414 30122,1.0,0.0008806460419363645
0 PO BOX 418 28741,1.0,0.0008806460419363645
0 PO BOX 42 30091,1.0,0.0008806460419363645
0 PO BOX 420 30342,2.0,0.001761292083872729
